1560004896736957440,0.07937,-0.31048,0.01139,0.69734,0.71566,0.02563,0.02992,0.12038,-0.29716,0.01775,
1560004896836957440,0.08402,-0.36041,0.00945,0.69707,0.71524,0.03338,0.03755,0.14354,-0.33484,0.00483,
1560004896936957952,0.07977,-0.40243,0.00700,0.69677,0.71465,0.04137,0.04556,0.11456,-0.34707,0.00441,
1560004897036833024,0.07692,-0.44001,0.00512,0.69663,0.71356,0.04911,0.05588,0.11436,-0.35648,-0.00834,
1560004897136833280,0.08214,-0.47536,0.00450,0.69581,0.71288,0.05728,0.06613,0.12944,-0.31421,0.00307,
1560004897236833280,0.08942,-0.51371,0.00417,0.69547,0.71147,0.06552,0.07640,0.12222,-0.31667,-0.00103,
1560004897336833536,0.10376,-0.54960,0.00462,0.69542,0.70945,0.07474,0.08655,0.14903,-0.31820,-0.00402,
1560004897436833792,0.11584,-0.58426,0.00490,0.69465,0.70763,0.08478,0.09769,0.14994,-0.32571,-0.00500,
1560004897536829440,0.13261,-0.62394,0.00505,0.69280,0.70634,0.09604,0.10902,0.15485,-0.32952,0.00018,
1560004897636829952,0.15236,-0.65969,0.00549,0.69084,0.70462,0.10776,0.12099,0.18984,-0.30619,0.00789,
1560004897736830208,0.17237,-0.69600,0.00541,0.68896,0.70232,0.11992,0.13304,0.19546,-0.32270,-0.00185,
1560004897836830464,0.19475,-0.73441,0.00558,0.68703,0.69966,0.13195,0.14507,0.22696,-0.31536,0.00019,
1560004897936830464,0.21782,-0.76979,0.00351,0.68526,0.69671,0.14326,0.15648,0.24485,-0.33291,-0.00869,
1560004898036799744,0.24104,-0.80499,0.00263,0.68346,0.69369,0.15394,0.16729,0.23233,-0.33856,-0.01066,
1560004898136799488,0.26549,-0.83545,0.00196,0.68116,0.69107,0.16414,0.17749,0.23497,-0.29494,0.00252,
1560004898236799744,0.28788,-0.86635,0.00097,0.67890,0.68847,0.17406,0.18656,0.22796,-0.28714,-0.00374,
1560004898336800000,0.30801,-0.89453,0.00056,0.67636,0.68628,0.18320,0.19493,0.21541,-0.26056,0.00231,
1560004898436800256,0.32834,-0.91850,0.00029,0.67392,0.68393,0.19309,0.20199,0.22470,-0.24041,-0.00360,
1560004898536824832,0.34901,-0.94374,0.00001,0.67238,0.68085,0.20265,0.20803,0.23218,-0.24796,-0.01021,
1560004898636825088,0.36947,-0.97269,0.00073,0.67098,0.67776,0.21104,0.21422,0.21778,-0.25334,-0.00299,
1560004898736825344,0.39132,-1.00170,0.00031,0.66949,0.67503,0.21810,0.22035,0.22654,-0.26842,-0.01411,
1560004898836825600,0.41437,-1.02988,0.00112,0.66782,0.67243,0.22464,0.22670,0.21887,-0.24265,-0.00236,
1560004898936826112,0.43779,-1.05564,0.00173,0.66553,0.67023,0.23133,0.23311,0.21896,-0.21928,0.00501,
1560004899036826624,0.46220,-1.08299,0.00236,0.66335,0.66806,0.23793,0.23886,0.22502,-0.24765,-0.00254,
1560004899136826880,0.48779,-1.11084,0.00275,0.66112,0.66611,0.24338,0.24492,0.24603,-0.25813,-0.00269,
1560004899236826880,0.51339,-1.13575,0.00329,0.65934,0.66401,0.24823,0.25050,0.24480,-0.26912,-0.00070,
1560004899336827136,0.54102,-1.16320,0.00285,0.65742,0.66259,0.25218,0.25528,0.25104,-0.26975,0.00234,
1560004899436827392,0.56728,-1.18974,0.00325,0.65611,0.66110,0.25602,0.25871,0.26571,-0.25917,0.00380,
1560004899536784896,0.59397,-1.21793,0.00402,0.65531,0.65957,0.25900,0.26164,0.24329,-0.27856,0.00230,
1560004899636785152,0.61783,-1.24439,0.00508,0.65441,0.65771,0.26147,0.26606,0.25405,-0.24427,0.00044,
1560004899736785152,0.64280,-1.26787,0.00566,0.65269,0.65621,0.26567,0.26983,0.24151,-0.22728,0.00432,
1560004899836785408,0.66872,-1.29025,0.00685,0.65161,0.65460,0.26945,0.27259,0.21279,-0.21882,0.01030,
1560004899936785664,0.69310,-1.30997,0.00728,0.64979,0.65345,0.27371,0.27543,0.24226,-0.19789,-0.00251,
1560004900036725248,0.71508,-1.32831,0.00777,0.64766,0.65212,0.27803,0.27923,0.24229,-0.21263,0.00064,
1560004900136725504,0.73929,-1.34783,0.00838,0.64572,0.65048,0.28227,0.28328,0.24542,-0.20543,0.00069,
1560004900236725504,0.76287,-1.36893,0.00940,0.64350,0.64917,0.28607,0.28748,0.23183,-0.19842,0.01181,
1560004900336725760,0.78891,-1.39066,0.01008,0.64192,0.64773,0.28925,0.29107,0.25305,-0.21107,0.00666,
1560004900436726016,0.81571,-1.41211,0.01110,0.64074,0.64600,0.29236,0.29439,0.27477,-0.22796,-0.00200,
1560004900536717056,0.84257,-1.43284,0.01170,0.63942,0.64426,0.29541,0.29799,0.26822,-0.22467,0.00568,
1560004900636717568,0.87390,-1.45757,0.01211,0.63756,0.64313,0.29819,0.30163,0.26294,-0.20583,0.01793,
1560004900736717824,0.90318,-1.47962,0.01283,0.63667,0.64139,0.30074,0.30468,0.28291,-0.23279,0.00472,
1560004900836717824,0.93258,-1.50162,0.01354,0.63578,0.63985,0.30316,0.30736,0.29293,-0.21413,0.00578,
1560004900936718080,0.96177,-1.52460,0.01384,0.63455,0.63905,0.30527,0.30947,0.29373,-0.21655,0.00280,
1560004901036647680,0.98966,-1.54525,0.01438,0.63425,0.63807,0.30675,0.31063,0.28380,-0.22207,0.00343,
